,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.98,1.46,0.00,0.00,0.00,0.45,0.31,0.17,0.02
Expenses,1.31,1.14,0.11,0.23,0.13,0.26,0.39,0.53,0.21
Operating Profit,-0.33,0.32,-0.11,-0.23,-0.13,0.19,-0.08,-0.36,-0.19
OPM %,-33.67,21.92,,,,42.22,-25.81,-211.76,-950.0
Other Income,0.8,0.0,0.02,0.03,0.02,0.0,0.03,0.04,0.0
Interest,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0
Depreciation,0.32,0.26,0.30,0.30,0.23,0.24,0.19,0.19,0.15
Profit before tax,0.15,0.06,-0.39,-0.50,-0.34,-0.05,-0.24,-0.51,-0.34
Tax %,60.0,16.67,0.00,0.00,0.00,0.0,0.0,0.0,0.0
Net Profit,0.06,0.04,-0.39,-0.50,-0.34,-0.05,-0.24,-0.51,-0.34
EPS in Rs,0.18,0.12,-1.18,-1.51,-1.02,-0.15,-0.72,-1.54,-1.02
