,2023-09-01
Depreciation,1.28
EPS in Rs,0.16
Expenses,3.58
Interest,0.14
Net Profit,0.39
OPM %,34.67
Operating Profit,1.9
Other Income,0.03
Profit before tax,0.51
Sales,5.48
Tax %,23.53
