,2016-03-01,2017-03-01,2018-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.1,17.01,17.01,17.01,17.01,17.01,1.7000000000000002
Reserves,0.62,133.73,133.61,12.96,13.41,12.92,12.55
Borrowings,1.15,0.0,31.62,0.14,0.0,0.02,0.0
Other Liabilities,0.12,1.23,7.41,1.08,0.8300000000000001,10.84,10.52
Total Liabilities,9.99,151.97,189.65,31.19,31.25,40.79,40.08
Fixed Assets,1.08,117.86,156.27,30.52,28.81,30.15,29.32
CWIP,4.87,9.76,10.14,0.0,0.0,0.0,0.0
Investments,0.0,3.79,3.91,0.0,1.0,9.05,9.79
Other Assets,4.04,20.56,19.33,0.67,1.44,1.59,0.97
Total Assets,9.99,151.97,189.65,31.19,31.25,40.79,40.08
