,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.93,8.42,12.54,11.2,10.46,8.85,12.74,21.29,13.9,17.44,27.92,37.09,34.38
Expenses,7.51,7.98,12.0,10.42,9.62,7.97,11.9,20.31,12.99,16.25,26.42,34.33,32.69
Operating Profit,0.42,0.44,0.54,0.78,0.84,0.88,0.84,0.98,0.91,1.19,1.5,2.76,1.69
OPM %,5.3,5.23,4.31,6.96,8.03,9.94,6.59,4.6,6.55,6.82,5.37,7.44,4.92
Other Income,0.12,0.14,0.18,0.01,0.03,0.03,0.08,0.09,0.1,0.12,0.06,0.09,0.03
Interest,0.28,0.34,0.4,0.45,0.53,0.58,0.64,0.77,0.77,0.72,0.72,0.74,0.77
Depreciation,0.13,0.13,0.13,0.2,0.19,0.18,0.18,0.19,0.17,0.22,0.4,0.79,0.95
Profit before tax,0.13,0.11,0.19,0.14,0.15,0.15,0.1,0.11,0.07,0.37,0.44,1.32,0.00
Tax %,30.77,27.27,36.84,64.29,53.33,46.67,10.0,0.0,0.0,27.03,31.82,28.03,
Net Profit,0.1,0.08,0.12,0.06,0.07,0.09,0.08,0.11,0.07,0.28,0.3,0.94,-0.04
EPS in Rs,1.11,0.89,1.33,0.67,0.78,1.0,0.89,1.22,0.78,3.11,3.33,10.44,-0.45
