,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,684.0,4949.0,4773.0,4398
Expenses,0,567.0,4108.0,4224.0,3911
Operating Profit,-0,117.0,841.0,549.0,488
OPM %,,17.0,17.0,11.0,11
Other Income,0,-10.0,22.0,32.0,33
Interest,0,7.0,31.0,22.0,36
Depreciation,0,22.0,123.0,122.0,126
Profit before tax,-0,77.0,709.0,437.0,358
Tax %,0,30.0,33.0,30.0,
Net Profit,-0,54.0,477.0,308.0,259
EPS in Rs,-3.40,3.41,29.93,19.31,16.26
