,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,112,453,462
Cash from Investing Activity,0,33,-71,-469
Cash from Financing Activity,0,-72,-418,42
Net Cash Flow,0,73,-36,35
