,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,684.0,1145.0,1223.0,1286.0,1296.0,1166.0,1304.0,1158.0,1145.0,1075.0,1020.0
Expenses,0.0,567.0,863.0,1027.0,1074.0,1153.0,1025.0,1151.0,1007.0,1043.0,958.0,902.0
Operating Profit,0.0,117.0,282.0,195.0,213.0,142.0,141.0,153.0,151.0,102.0,117.0,118.0
OPM %,,17.0,25.0,16.0,17.0,11.0,12.0,12.0,13.0,9.0,11.0,12.0
Other Income,0.0,-10.0,6.0,7.0,9.0,9.0,10.0,7.0,7.0,9.0,8.0,9.0
Interest,0.0,7.0,13.0,7.0,5.0,6.0,4.0,5.0,7.0,6.0,11.0,13.0
Depreciation,0.0,22.0,32.0,31.0,30.0,31.0,31.0,31.0,30.0,30.0,32.0,34.0
Profit before tax,0.0,77.0,243.0,165.0,187.0,115.0,116.0,124.0,122.0,76.0,81.0,80.0
Tax %,,30.0,31.0,33.0,31.0,40.0,31.0,32.0,25.0,31.0,29.0,28.0
Net Profit,0.0,54.0,168.0,111.0,129.0,69.0,79.0,84.0,92.0,52.0,58.0,57.0
EPS in Rs,0.0,3.41,10.56,6.96,8.1,4.31,4.98,5.29,5.75,3.28,3.62,3.61
