,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.33,4.41,8.83,5.06,11.22,8.79
Expenses,6.33,3.89,7.43,4.54,9.69,7.66
Operating Profit,1.0,0.52,1.4,0.52,1.53,1.13
OPM %,13.64,11.79,15.86,10.28,13.64,12.86
Other Income,0.24,0.07,0.09,0.17,0.05,0.01
Interest,0.39,0.38,0.32,0.26,0.21,0.17
Depreciation,0.15,0.14,0.13,0.12,0.12,0.1
Profit before tax,0.7,0.07,1.04,0.31,1.25,0.87
Tax %,27.14,28.57,26.92,41.94,26.4,25.29
Net Profit,0.5,0.05,0.77,0.19,0.92,0.65
EPS in Rs,2.14,0.21,2.4,0.59,2.87,1.59
