,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.11,5.07,9.08,9.54,10.04,13.24,16.28,20.01
Expenses,2.87,4.59,8.0,7.98,8.61,11.32,14.22,17.35
Operating Profit,0.24,0.48,1.08,1.56,1.43,1.92,2.06,2.66
OPM %,7.72,9.47,11.89,16.35,14.24,14.5,12.65,13.29
Other Income,0.01,0.02,0.1,0.07,0.24,0.16,0.23,0.06
Interest,0.07,0.19,0.6,0.73,0.76,0.7,0.48,0.38
Depreciation,0.07,0.08,0.2,0.3,0.31,0.27,0.23,0.22
Profit before tax,0.11,0.23,0.38,0.6,0.6,1.11,1.58,2.12
Tax %,36.36,34.78,26.32,26.67,26.67,27.03,29.75,
Net Profit,0.08,0.15,0.28,0.43,0.44,0.82,1.11,1.57
EPS in Rs,2.11,2.02,2.15,3.31,1.88,2.56,3.46,4.46
