,2022-09-01,2023-03-01,2023-09-01
Sales,5.92,7.17,7.11
Expenses,6.28,5.95,6.23
Operating Profit,-0.36,1.22,0.88
OPM %,-6.08,17.02,12.38
Other Income,0.17,0.16,0.06
Interest,0.06,0.12,0.16
Depreciation,0.01,0.16,0.38
Profit before tax,-0.26,1.1,0.4
Tax %,0.0,18.18,27.5
Net Profit,-0.27,0.9,0.28
EPS in Rs,-1.39,3.38,1.05
