,Mar 2022,Mar 2023,TTM
Sales,5.77,13.09,14.28
Expenses,4.8,12.18,12.18
Operating Profit,0.97,0.91,2.10
OPM %,16.81,6.95,14.71
Other Income,0.0,0.32,0.22
Interest,0.0,0.23,0.28
Depreciation,0.12,0.17,0.54
Profit before tax,0.85,0.83,1.50
Tax %,25.88,24.1,
Net Profit,0.63,0.63,1.18
EPS in Rs,630.0,2.37,4.43
