,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Reserves,0.07,0.58,0.62,0.74,1.09,0.87,1.22,2.77,3.09
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.17,0.13,0.13,0.11,0.12,0.21,0.14,0.1
Total Liabilities,3.37,4.05,4.05,4.17,4.5,4.29,4.73,6.21,6.49
Fixed Assets,0.06,0.05,0.04,0.04,0.04,0.04,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,3.76,3.93,3.82,3.84,3.6,4.08,6.19,0.0
Other Assets,3.31,0.24,0.08,0.31,0.62,0.65,0.65,0.02,6.49
Total Assets,3.37,4.05,4.05,4.17,4.5,4.29,4.73,6.21,6.49
