,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.07,0.04,0.08,0.11,0.12,0.23,1.08,0.07
Expenses,0.05,0.09,0.07,0.07,0.09,0.08,0.09,0.15,0.13
Operating Profit,-0.01,-0.02,-0.03,0.01,0.02,0.04,0.14,0.93,-0.06
OPM %,-25.0,-28.57,-75.0,12.5,18.18,33.33,60.87,86.11,-85.71
Other Income,-0.0,0.26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00
Depreciation,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00
Profit before tax,-0.01,0.24,-0.03,0.01,0.02,0.04,0.14,0.93,0.03
Tax %,-0.0,20.83,-0.0,-0.0,-0.0,25.0,21.43,17.2,
Net Profit,0.06,0.26,0.05,0.11,0.49,-0.22,0.23,1.57,0.89
EPS in Rs,0.14,0.62,0.12,0.26,1.18,-0.53,0.55,3.77,2.14
