,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.51,16.36,23.59,17.58,12.35,16.1,23.53,24.5,25.47,34.81,53.56,38.76,32.58
Expenses,15.75,14.2,21.25,18.36,12.16,13.56,20.75,22.48,22.05,31.67,50.02,36.04,33.48
Operating Profit,1.76,2.16,2.34,-0.78,0.19,2.54,2.78,2.02,3.42,3.14,3.54,2.72,-0.90
OPM %,10.05,13.2,9.92,-4.44,1.54,15.78,11.81,8.24,13.43,9.02,6.61,7.02,-2.76
Other Income,0.28,0.15,0.26,0.21,2.39,-0.43,0.07,0.19,-0.69,-0.15,0.46,-0.15,0.33
Interest,0.87,1.21,1.14,1.44,0.91,0.8,0.62,0.39,0.36,0.44,0.45,0.76,0.90
Depreciation,0.48,0.6,0.79,1.13,0.93,0.83,0.86,0.89,0.93,0.87,0.93,0.92,0.99
Profit before tax,0.69,0.5,0.67,-3.14,0.74,0.48,1.37,0.93,1.44,1.68,2.62,0.89,-2.46
Tax %,27.54,42.0,23.88,29.94,20.27,54.17,17.52,29.03,34.03,35.12,28.24,26.97,
Net Profit,0.5,0.29,0.52,-2.2,0.59,0.23,1.13,0.66,0.95,1.08,1.88,0.65,-1.85
EPS in Rs,1.13,0.65,1.17,-4.95,1.33,0.52,2.54,1.49,2.14,2.43,4.23,1.46,-4.17
