,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,36.16,19.12,6.22,6.19,6.19,0.04,0.04,0.04,0.04,0.04,0.04,0.04
DIIs,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public,63.84,80.79,93.78,93.81,93.81,99.96,99.96,99.96,99.96,99.96,99.96,99.96
No. of Shareholders,1715.0,1716.0,1710.0,1709.0,1709.0,1708.0,1708.0,1708.0,1708.0,1709.0,1839.0,1913.0
