,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1554.0,1316.0,1935.0,2709.0,1899.0,2435.0,2864.0,4398.0,3644.0,3054.0,3683.0
Expenses,1485.0,1214.0,1667.0,2501.0,1806.0,2277.0,2682.0,4027.0,3553.0,3093.0,3427.0
Operating Profit,69.0,102.0,268.0,208.0,92.0,157.0,181.0,372.0,91.0,-39.0,256.0
OPM %,4.0,8.0,14.0,8.0,5.0,6.0,6.0,8.0,2.0,-1.0,7.0
Other Income,8.0,4.0,3.0,6.0,26.0,10.0,6.0,6.0,70.0,19.0,11.0
Interest,27.0,7.0,15.0,21.0,42.0,51.0,73.0,87.0,80.0,92.0,96.0
Depreciation,21.0,21.0,22.0,23.0,23.0,31.0,47.0,47.0,50.0,47.0,51.0
Profit before tax,29.0,78.0,234.0,170.0,52.0,85.0,68.0,243.0,30.0,-159.0,120.0
Tax %,74.0,24.0,25.0,25.0,32.0,26.0,25.0,26.0,68.0,25.0,26.0
Net Profit,8.0,60.0,175.0,128.0,36.0,63.0,51.0,181.0,9.0,-119.0,89.0
EPS in Rs,13.17,1.03,3.04,2.22,0.62,0.77,0.62,2.22,0.12,-1.47,1.1
