,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,575,575,575,575,575,575,814,814
Reserves,670,820,907,1029,1253,1650,2691,2621
Borrowings,2511,1861,3054,2218,1251,2954,4648,3902
Other Liabilities,828,875,1091,1188,1344,2749,2504,2288
Total Liabilities,4584,4132,5628,5011,4424,7929,10658,9626
Fixed Assets,932,1008,1024,1214,1226,1261,2872,3287
CWIP,243,215,255,149,220,336,697,437
Investments,0,0,0,4,126,554,4,4
Other Assets,3409,2909,4349,3644,2852,5778,7085,5899
Total Assets,4584,4132,5628,5011,4424,7929,10658,9626
