,2021-03-01,2022-03-01,2023-03-01
Sales,14.1,26.19,36.18
Expenses,12.39,23.79,31.37
Operating Profit,1.71,2.4,4.81
OPM %,12.13,9.16,13.29
Other Income,0.03,0.0,0.15
Interest,1.06,0.86,0.99
Depreciation,0.31,0.31,0.52
Profit before tax,0.37,1.23,3.45
Tax %,-2.7,-27.64,28.99
Net Profit,0.38,1.57,2.46
EPS in Rs,7.6,31.4,49.2
