,2023-09-01
Depreciation,0.4
EPS in Rs,3.9
Expenses,15.4
Interest,0.7
Net Profit,0.82
OPM %,12.6
Operating Profit,2.22
Other Income,0.01
Profit before tax,1.13
Sales,17.62
Tax %,27.43
