,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.0,10,12,0,0,0,0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,20.0,10,12,0,0,0,0
Working Capital Days,-210.0,-20,-177,-75,-577,-1026,-941
ROCE %,,-39,-17,2,11,8,12
