,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.43,2.73,1.53,3.84,2.42
Expenses,1.72,1.94,1.29,3.18,2.51
Operating Profit,-0.29,0.79,0.24,0.66,-0.09
OPM %,-20.28,28.94,15.69,17.19,-3.72
Other Income,0.01,0.01,0.01,0.01,0.02
Interest,0.01,0.02,0.02,0.02,0.11
Depreciation,0.03,0.03,0.04,0.04,0.12
Profit before tax,-0.32,0.75,0.19,0.61,-0.3
Tax %,0.0,14.67,10.53,26.23,3.33
Net Profit,-0.33,0.65,0.18,0.45,-0.29
EPS in Rs,-0.92,1.81,0.5,1.25,-0.81
