,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.5,4.16,5.38,6.26
Expenses,3.08,3.65,4.44,5.69
Operating Profit,0.42,0.51,0.94,0.57
OPM %,12.0,12.26,17.47,9.11
Other Income,0.02,0.01,0.02,0.03
Interest,0.03,0.03,0.08,0.13
Depreciation,0.07,0.06,0.08,0.16
Profit before tax,0.34,0.43,0.8,0.31
Tax %,29.41,25.58,22.5,
Net Profit,0.23,0.33,0.63,0.16
EPS in Rs,0.64,0.92,1.75,0.44
