,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,13,13,4,-6
Cash from Investing Activity,-15,-37,-18,-8,-6
Cash from Financing Activity,-4,19,6,4,29
Net Cash Flow,-14,-5,1,0,17
