,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,13,13
Reserves,75,109,121,134,181,187
Borrowings,12,11,19,26,26,29
Other Liabilities,38,49,42,53,59,68
Total Liabilities,137,181,194,226,279,297
Fixed Assets,24,34,90,92,93,93
CWIP,15,40,0,0,0,0
Investments,0,0,0,0,0,0
Other Assets,97,107,104,133,186,204
Total Assets,137,181,194,226,279,297
