,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,16,17,18,18,19,23,23.0
Reserves,32,76,115,134,139,213,608,644.0
Preference Capital,20,0,0,0,0,0,0,
Borrowings,69,63,77,175,140,161,121,141.0
Other Liabilities,101,95,91,100,98,114,128,126.0
Total Liabilities,215,250,300,427,396,507,880,935.0
Fixed Assets,10,17,22,128,112,129,197,227.0
CWIP,0,0,5,1,4,0,4,1.0
Investments,0,0,0,4,4,6,7,27.0
Other Assets,205,232,273,294,275,373,672,679.0
Total Assets,215,250,300,427,396,507,880,935.0
