,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,-1,,35,62,17,-5
Cash from Investing Activity,-2,-12,,-13,-10,-23,-254
Cash from Financing Activity,2,11,,-20,-45,27,249
Net Cash Flow,4,-2,,2,7,20,-10
