,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,123.0,89.0,134.0,195.0,159.0,174.0,178.0,230.0,208.0,230.0,234.0
Expenses,107.0,82.0,121.0,169.0,139.0,147.0,152.0,195.0,182.0,196.0,197.0
Operating Profit,16.0,7.0,13.0,26.0,20.0,27.0,26.0,35.0,25.0,34.0,37.0
OPM %,13.0,8.0,10.0,13.0,13.0,16.0,14.0,15.0,12.0,15.0,16.0
Other Income,2.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0
Interest,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0
Depreciation,8.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0
Profit before tax,6.0,1.0,4.0,16.0,10.0,17.0,18.0,27.0,17.0,24.0,25.0
Tax %,28.0,34.0,28.0,26.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0
Net Profit,4.0,1.0,3.0,12.0,8.0,13.0,14.0,21.0,13.0,18.0,18.0
EPS in Rs,2.39,0.5,1.45,6.4,4.08,5.41,5.79,8.81,5.6,7.7,7.9
