,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,112,112,112,112,112,112,112,112
Reserves,2370,2636,3182,3368,3393,3607,3775,3650
Borrowings,5700,4369,1020,1400,1049,1336,1059,2259
Other Liabilities,2154,3214,1861,1868,2141,2684,3465,4252
Total Liabilities,10336,10331,6175,6747,6693,7739,8411,10272
Fixed Assets,7309,7256,4430,4293,4139,4059,3916,3885
CWIP,34,35,275,176,210,211,226,90
Investments,258,223,183,107,238,409,228,480
Other Assets,2734,2817,1287,2171,2106,3060,4041,5818
Total Assets,10336,10331,6175,6747,6693,7739,8411,10272
