,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7645.0,3898.0,3944.0,3423.0,2617.0,4131.0,4800.0,4598
Expenses,6721.0,3092.0,2992.0,2873.0,2411.0,3687.0,4274.0,4241
Operating Profit,924.0,805.0,951.0,550.0,205.0,444.0,525.0,357
OPM %,12.0,21.0,24.0,16.0,8.0,11.0,11.0,8
Other Income,62.0,138.0,5673.0,32.0,62.0,51.0,162.0,104
Interest,551.0,212.0,102.0,87.0,71.0,52.0,54.0,57
Depreciation,313.0,199.0,193.0,229.0,231.0,231.0,227.0,232
Profit before tax,122.0,532.0,6330.0,267.0,-35.0,212.0,406.0,172
Tax %,14.0,30.0,4.0,-35.0,4.0,24.0,35.0,
Net Profit,105.0,372.0,6063.0,360.0,-34.0,162.0,265.0,109
EPS in Rs,9.4,33.27,542.81,32.7,-2.73,14.91,24.34,10.53
