,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,607.0,770.0,839.0,842.0,1014.0,1065.0,1211.0,1190.0,1233.0,1169.0,1209.0,1117.0,1103.0
Expenses,559.0,700.0,769.0,739.0,902.0,965.0,1085.0,1051.0,1054.0,1082.0,1088.0,996.0,1075.0
Operating Profit,49.0,70.0,70.0,103.0,112.0,100.0,125.0,139.0,179.0,87.0,121.0,121.0,28.0
OPM %,8.0,9.0,8.0,12.0,11.0,9.0,10.0,12.0,14.0,7.0,10.0,11.0,3.0
Other Income,13.0,33.0,5.0,10.0,33.0,5.0,8.0,4.0,10.0,4.0,144.0,-56.0,12.0
Interest,17.0,16.0,16.0,13.0,12.0,12.0,15.0,11.0,15.0,13.0,14.0,13.0,17.0
Depreciation,58.0,58.0,58.0,57.0,58.0,59.0,57.0,56.0,57.0,57.0,57.0,58.0,59.0
Profit before tax,-13.0,29.0,2.0,43.0,74.0,34.0,62.0,76.0,116.0,21.0,193.0,-7.0,-36.0
Tax %,-13.0,-8.0,725.0,51.0,40.0,64.0,-37.0,40.0,40.0,68.0,26.0,-8.0,9.0
Net Profit,-15.0,31.0,-10.0,21.0,44.0,12.0,84.0,45.0,70.0,7.0,142.0,-7.0,-33.0
EPS in Rs,-1.26,2.87,-0.75,1.93,4.0,1.27,7.71,4.15,6.41,0.78,13.01,-0.53,-2.73
