,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,14,18,18,18,18,18,18,18
Reserves,0,27,78,95,100,110,121,136,151
Borrowings,0,45,55,61,68,85,85,95,108
Other Liabilities,0,46,42,59,57,67,66,102,79
Total Liabilities,5,132,192,232,243,279,290,350,356
Fixed Assets,0,34,61,92,96,115,129,132,134
CWIP,0,2,7,9,15,11,2,9,24
Investments,1,0,0,2,5,6,0,0,0
Other Assets,4,95,124,129,127,148,158,209,197
Total Assets,5,132,192,232,243,279,290,350,356
