,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,181.0,159.0,273.0,195.0,262.0
Expenses,116.0,121.0,144.0,123.0,143.0
Operating Profit,65.0,38.0,129.0,72.0,119.0
OPM %,36.0,24.0,47.0,37.0,45.0
Other Income,8.0,6.0,12.0,7.0,8.0
Interest,1.0,1.0,1.0,1.0,1.0
Depreciation,14.0,13.0,14.0,13.0,13.0
Profit before tax,58.0,30.0,126.0,65.0,113.0
Tax %,26.0,26.0,26.0,25.0,25.0
Net Profit,43.0,22.0,94.0,48.0,84.0
EPS in Rs,45.32,2.14,8.94,4.63,8.08
