,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,340.0,436.0,512.0,617.0,713.0,853.0
Expenses,195.0,256.0,308.0,289.0,439.0,504.0
Operating Profit,145.0,180.0,205.0,328.0,274.0,349.0
OPM %,43.0,41.0,40.0,53.0,38.0,41.0
Other Income,18.0,17.0,31.0,14.0,23.0,35.0
Interest,1.0,1.0,1.0,1.0,6.0,10.0
Depreciation,18.0,19.0,21.0,28.0,50.0,54.0
Profit before tax,144.0,178.0,213.0,313.0,241.0,320.0
Tax %,30.0,33.0,21.0,25.0,26.0,26.0
Net Profit,100.0,118.0,169.0,235.0,179.0,238.0
EPS in Rs,105.66,124.48,177.65,247.44,187.76,22.76
