,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.59,0.00,0.00,0.00,15.09,78.73,69.85,65.37,58.5,56.64,69.09,66.89,59.63
Expenses,4.64,0.15,0.04,0.05,14.89,77.28,68.0,63.28,59.2,54.89,66.7,63.99,57.61
Operating Profit,-1.05,-0.15,-0.04,-0.05,0.2,1.45,1.85,2.09,-0.7,1.75,2.39,2.9,2.02
OPM %,-29.25,,,,1.33,1.84,2.65,3.2,-1.2,3.09,3.46,4.34,3.39
Other Income,0.0,0.10,0.00,0.00,-0.03,0.08,0.1,0.1,0.05,0.11,0.09,-0.45,-0.24
Interest,0.0,0.00,0.00,0.00,0.02,0.1,0.09,0.07,0.23,0.29,0.37,0.53,0.66
Depreciation,0.02,0.02,0.01,0.01,0.06,0.2,0.2,0.23,0.29,0.71,0.89,1.25,1.27
Profit before tax,-1.07,-0.07,-0.05,-0.06,0.09,1.23,1.66,1.89,-1.17,0.86,1.22,0.67,-0.15
Tax %,0.0,0.00,0.00,-16.67,-88.89,21.95,29.52,32.8,36.75,10.47,36.07,26.87,
Net Profit,-1.07,-0.07,-0.06,-0.07,0.17,0.95,1.16,1.26,-0.73,0.77,0.78,0.49,-0.13
EPS in Rs,-2.82,-0.18,-0.16,-0.18,0.26,1.46,1.78,1.94,-1.12,1.18,1.2,0.75,-0.20
