,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.02,10.28,13.83,8.18,9.13,6.9,24.98,19.9,42.67,53.21,22.31,11.43,19.95
Expenses,1.63,1.48,1.6,1.56,1.61,1.3,15.13,4.84,22.57,25.81,17.71,2.38,7.32
Operating Profit,12.39,8.8,12.23,6.62,7.52,5.6,9.85,15.06,20.1,27.4,4.6,9.05,12.63
OPM %,88.37,85.6,88.43,80.93,82.37,81.16,39.43,75.68,47.11,51.49,20.62,79.18,63.31
Other Income,0.19,0.11,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.04
Interest,2.94,2.17,1.95,2.14,2.18,1.42,1.12,10.02,9.43,13.14,2.03,2.14,2.33
Depreciation,0.11,0.11,0.1,0.1,0.12,0.15,0.15,0.16,0.19,0.15,0.23,0.18,0.18
Profit before tax,9.53,6.63,10.31,4.47,5.23,4.03,8.58,4.88,10.48,14.11,2.34,6.81,11.16
Tax %,27.81,28.96,25.51,20.36,17.59,22.58,11.19,5.53,16.79,4.39,23.5,29.81,
Net Profit,6.88,4.71,7.68,3.56,4.31,3.12,7.63,4.61,8.71,13.5,1.78,4.77,8.14
EPS in Rs,9.87,6.76,11.02,5.11,6.18,4.48,10.95,6.61,12.49,19.37,2.77,6.99,11.86
