,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1785.02,2230.68,2631.61,2202.97,2019.64,2165.24,2930.18,2652.46,2400.62,2604.59,2928.5,2805.5,2572.97
Expenses,1423.37,1778.79,2107.55,1688.68,1689.1,1938.3,2505.25,2282.87,2208.58,2336.28,2548.06,2412.96,2243.02
Operating Profit,361.65,451.89,524.06,514.29,330.54,226.94,424.93,369.59,192.04,268.31,380.44,392.54,329.95
OPM %,20.26,20.26,19.91,23.35,16.37,10.48,14.5,13.93,8.0,10.3,12.99,13.99,12.82
Other Income,8.12,5.62,11.63,5.59,7.08,14.47,14.94,4.66,1.92,4.17,-403.34,9.48,5.95
Interest,175.09,184.03,163.58,150.7,146.27,141.48,131.47,116.67,124.27,133.51,137.45,134.62,139.88
Depreciation,210.23,229.76,221.11,211.73,230.68,231.14,244.41,232.82,239.51,239.67,239.13,243.69,225.63
Profit before tax,-15.55,43.72,151.0,157.45,-39.33,-131.21,63.99,24.76,-169.82,-100.7,-399.48,23.71,-29.61
Tax %,-5.98,-1.58,75.15,27.42,34.48,34.81,54.51,17.33,23.22,25.23,150.33,39.01,105.17
Net Profit,-16.48,44.41,37.52,114.28,-25.77,-85.54,29.11,20.47,-130.38,-75.29,201.06,14.46,1.53
EPS in Rs,-0.52,1.41,1.19,3.63,-0.72,-2.4,0.82,0.57,-3.65,-2.11,5.63,0.4,0.04
