,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,150,150,200,242,315,357,357,357
Reserves,3799,3967,4788,5037,7009,8464,8482,8498
Borrowings,4314,4369,4683,4513,7792,5575,4785,5124
Other Liabilities,3022,3133,3590,3652,4792,5218,5364,5169
Total Liabilities,11285,11619,13262,13444,19907,19615,18988,19148
Fixed Assets,8916,8690,9895,9970,15042,15409,14962,14833
CWIP,143,144,605,647,1240,399,596,691
Investments,412,844,456,0,384,186,0,20
Other Assets,1814,1942,2306,2827,3241,3621,3430,3604
Total Assets,11285,11619,13262,13444,19907,19615,18988,19148
