,2022-03-01,2023-03-01,2023-09-01
Promoters,71.42,71.78,71.78
FIIs,5.42,3.14,3.15
DIIs,18.05,20.44,19.96
Public,5.11,4.63,5.12
No. of Shareholders,286954.0,253546.0,239732.0
