,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,458.0,506.0,755.0,760.0,709.0,873.0,854.0,817
Expenses,400.0,441.0,639.0,633.0,553.0,780.0,799.0,782
Operating Profit,57.0,65.0,116.0,127.0,156.0,93.0,54.0,35
OPM %,13.0,13.0,15.0,17.0,22.0,11.0,6.0,4
Other Income,6.0,-0.0,-2.0,7.0,1.0,4.0,6.0,5
Interest,5.0,7.0,13.0,12.0,2.0,4.0,13.0,17
Depreciation,14.0,15.0,18.0,19.0,17.0,17.0,19.0,20
Profit before tax,44.0,43.0,83.0,103.0,137.0,76.0,27.0,3
Tax %,37.0,42.0,31.0,16.0,26.0,30.0,28.0,
Net Profit,28.0,25.0,57.0,86.0,102.0,53.0,20.0,1
EPS in Rs,13.54,7.43,16.98,25.61,30.29,15.84,5.87,0.40
