,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.0,70.0,28.0,9.0,12.0,20.0,33.0,6.0,35
Expenses,4.0,2.0,3.0,3.0,6.0,2.0,3.0,4.0,4
Operating Profit,9.0,68.0,25.0,6.0,7.0,18.0,30.0,2.0,32
OPM %,72.0,97.0,89.0,68.0,53.0,89.0,91.0,26.0,90
Other Income,151.0,242.0,157.0,196.0,155.0,116.0,429.0,223.0,154
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,160.0,310.0,181.0,202.0,161.0,133.0,459.0,225.0,186
Tax %,1.0,2.0,1.0,0.0,1.0,3.0,7.0,-2.0,
Net Profit,159.0,303.0,179.0,202.0,160.0,130.0,429.0,228.0,180
EPS in Rs,496.88,950.05,559.83,632.4,500.42,405.8,1344.45,715.74,562.84
