,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,3,3,3
Reserves,1244,1545,1819,1994,2122,2303,2774,3096,3207
Borrowings,0,0,0,0,0,0,0,0,0
Other Liabilities,2,5,3,5,4,2,1,1,3
Total Liabilities,1249,1553,1825,2003,2130,2307,2778,3101,3214
Fixed Assets,1,1,3,3,3,3,3,3,3
CWIP,0,0,0,0,0,0,0,0,0
Investments,1240,1506,1776,1952,1979,2167,2738,3065,3159
Other Assets,9,46,46,48,147,137,36,32,52
Total Assets,1249,1553,1825,2003,2130,2307,2778,3101,3214
