,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.02,76.93,69.26,32.26,90.55,58.34,35.86,16.92,8.87,8.94,13.83,11.76
Expenses,57.87,60.44,56.77,24.97,74.35,44.42,20.27,14.11,6.49,7.35,8.07,7.77
Operating Profit,9.15,16.49,12.49,7.29,16.2,13.92,15.59,2.81,2.38,1.59,5.76,3.99
OPM %,13.65,21.44,18.03,22.6,17.89,23.86,43.47,16.61,26.83,17.79,41.65,33.93
Other Income,2.11,1.02,4.24,6.3,2.06,2.25,-2.59,4.32,11.26,2.86,2.32,3.14
Interest,2.89,3.88,3.32,3.23,3.43,3.28,2.44,1.68,1.08,0.03,0.07,0.06
Depreciation,1.98,2.91,2.83,3.35,3.58,4.15,4.23,3.78,3.91,3.91,4.1,4.05
Profit before tax,6.39,10.72,10.58,7.01,11.25,8.74,6.33,1.67,8.65,0.51,3.91,3.02
Tax %,-29.58,33.49,17.77,14.69,26.67,27.92,-40.13,-126.95,-11.33,31.37,15.86,
Net Profit,8.27,7.13,8.7,5.97,8.26,6.3,8.87,3.79,9.63,0.35,3.29,2.38
EPS in Rs,14.63,3.54,4.32,2.96,4.1,3.13,4.4,1.88,4.78,0.17,1.63,1.18
