,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15
Reserves,14.27,17.77,23.15,28.09,36.7,69.04,73.98,78.39,88.02,86.25,89.44,92.6
Borrowings,22.55,26.69,22.6,29.72,28.08,29.18,31.37,15.22,2.28,1.23,0.73,0.6000000000000001
Other Liabilities,26.96,34.58,24.88,29.28,34.67,36.02,44.41,32.0,21.12,20.67,17.61,17.17
Total Liabilities,83.93,99.19,90.78,107.24,119.6,154.39,169.91,145.76,131.57,128.3,127.93,130.52
Fixed Assets,31.24,49.1,45.81,57.03,66.27,91.69,110.98,102.1,96.17,92.36,90.79,87.92
CWIP,0.24,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0
Investments,1.05,1.17,1.02,0.3,0.8,0.3,0.3,0.3,0.0,0.0,14.79,24.91
Other Assets,51.4,48.81,43.83,49.79,52.41,62.28,58.51,43.36,35.4,35.94,22.35,17.69
Total Assets,83.93,99.19,90.78,107.24,119.6,154.39,169.91,145.76,131.57,128.3,127.93,130.52
