,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,53.91,48.94,52.22,52.45,61.23,55.2,55.83,54.13,52.16,66.9,80.49,83.08,76.25
Expenses,39.96,34.76,38.4,41.41,46.85,40.39,40.96,40.98,44.81,51.34,58.59,65.15,61.17
Operating Profit,13.95,14.18,13.82,11.04,14.38,14.81,14.87,13.15,7.35,15.56,21.9,17.93,15.08
OPM %,25.88,28.97,26.46,21.05,23.49,26.83,26.63,24.29,14.09,23.26,27.21,21.58,19.78
Other Income,0.03,0.03,0.01,0.01,0.03,0.05,-0.01,0.46,1.43,0.64,0.85,2.45,1.90
Interest,2.52,2.14,1.61,1.31,0.89,0.9,0.88,0.6,0.39,0.2,0.68,1.06,0.74
Depreciation,3.52,4.23,4.26,3.21,3.36,3.35,3.43,3.34,2.97,3.3,4.14,4.35,4.48
Profit before tax,7.94,7.84,7.96,6.53,10.16,10.61,10.55,9.67,5.42,12.7,17.93,14.97,11.76
Tax %,20.65,17.98,32.04,32.62,33.46,33.65,33.74,28.02,25.28,26.14,27.5,29.46,
Net Profit,6.29,6.43,5.4,4.4,6.77,7.04,7.0,6.96,4.05,9.38,13.0,10.55,8.40
EPS in Rs,6.34,6.48,5.44,4.44,6.82,7.1,7.06,7.02,4.08,9.46,13.1,10.64,8.47
