,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.77,1.23,0.39,0.67,0.92,1.1,0.8,1.0,0.66,1.11,1.23,1.03
Expenses,1.56,1.79,1.11,1.21,1.63,1.78,1.66,1.88,1.74,1.88,1.56,1.68
Operating Profit,-0.79,-0.56,-0.72,-0.54,-0.71,-0.68,-0.86,-0.88,-1.08,-0.77,-0.33,-0.65
OPM %,-102.6,-45.53,-184.62,-80.6,-77.17,-61.82,-107.5,-88.0,-163.64,-69.37,-26.83,-63.11
Other Income,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Interest,0.03,0.14,0.0,0.01,0.04,0.09,0.04,0.06,0.03,0.09,0.04,0.03
Depreciation,0.0,0.39,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.0
Profit before tax,-0.82,-0.86,-0.72,-0.55,-0.75,-0.83,-0.9,-0.94,-1.11,-0.88,-0.36,-0.68
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.82,-0.86,-0.72,-0.55,-0.75,-0.83,-0.9,-0.94,-1.11,-0.89,-0.36,-0.68
EPS in Rs,-0.48,-0.57,-0.38,-0.29,-0.4,0.1,-0.51,-0.54,-0.65,-0.56,-0.28,-0.47
