,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
Reserves,-17.44,-10.1,-13.9,-18.11,-22.59,-20.1,-23.09,-25.9,-27.89,-29.58,-32.14,-32.91
Borrowings,10.11,14.72,20.86,22.92,29.61,23.88,28.88,33.75,36.58,39.5,43.46,45.4
Other Liabilities,1.63,4.12,3.22,5.09,2.62,7.55,5.75,3.94,3.39,1.85,0.35,-0.51
Total Liabilities,4.6,19.04,20.48,20.2,19.94,21.63,21.84,22.09,22.38,22.07,21.97,22.28
Fixed Assets,0.42,7.44,7.47,7.5,7.62,8.47,8.45,8.88,8.61,8.62,8.75,19.59
CWIP,2.65,8.5,9.55,9.69,9.85,10.0,10.23,10.23,10.23,10.23,10.29,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.53,3.1,3.46,3.01,2.47,3.16,3.16,2.98,3.54,3.22,2.93,2.69
Total Assets,4.6,19.04,20.48,20.2,19.94,21.63,21.84,22.09,22.38,22.07,21.97,22.28
