,2022-03-01,2023-03-01,2023-09-01
Promoters,57.64,57.64,55.25
FIIs,1.92,4.06,5.6
DIIs,20.37,31.76,32.09
Public,20.07,6.53,7.06
No. of Shareholders,51555.0,45757.0,49141.0
