,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24,24,24,24,24,24,27,27,27.0
Reserves,-24,53,126,191,244,333,518,716,811.0
Preference Capital,14,14,14,8,9,12,0,0,
Borrowings,602,530,431,377,250,238,223,82,40.0
Other Liabilities,140,157,222,190,168,196,217,189,180.0
Total Liabilities,741,764,804,782,686,791,985,1013,1059.0
Fixed Assets,335,346,336,382,374,372,380,391,386.0
CWIP,8,0,40,1,0,1,46,46,60.0
Investments,0,0,0,0,0,0,0,0,14.0
Other Assets,398,418,428,399,312,417,559,577,599.0
Total Assets,741,764,804,782,686,791,985,1013,1059.0
