,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.53,19.96,20.54,29.53,31.53,39.57,41.97,44.58,52.67,76.51,82.79,88.38,96.16
Expenses,15.77,16.8,17.08,22.02,28.25,30.74,35.55,32.29,45.38,58.73,66.13,76.57,81.70
Operating Profit,3.76,3.16,3.46,7.51,3.28,8.83,6.42,12.29,7.29,17.78,16.66,11.81,14.46
OPM %,19.25,15.83,16.85,25.43,10.4,22.31,15.3,27.57,13.84,23.24,20.12,13.36,15.04
Other Income,0.06,0.61,0.6,0.16,0.1,4.42,0.39,0.23,0.73,0.52,0.41,0.23,0.67
Interest,1.61,2.6,1.93,2.06,2.7,2.64,2.03,5.39,5.25,3.11,2.53,2.57,3.41
Depreciation,0.89,0.79,0.68,1.23,1.01,0.95,0.93,0.95,1.07,1.04,1.01,1.1,1.16
Profit before tax,1.32,0.38,1.45,4.38,-0.33,9.66,3.85,6.18,1.7,14.15,13.53,8.37,10.56
Tax %,31.82,18.42,36.55,32.88,-18.18,30.02,42.08,25.24,58.82,20.35,25.57,26.4,
Net Profit,0.9,0.3,0.92,2.94,-0.39,6.76,2.24,4.62,0.7,11.26,10.07,6.15,7.49
EPS in Rs,3.04,1.01,3.11,9.93,-1.32,22.84,7.57,15.61,2.37,38.04,34.02,20.78,25.30
