,2015-03-01,2016-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.06,1.46,2.13,2.13,2.13,2.13
Reserves,0.0,0.0,0.13,1.43,2.61,2.83,3.5700000000000003,4.06
Borrowings,0.0,0.01,0.01,3.97,4.37,4.23,4.53,4.68
Other Liabilities,0.0,0.03,0.14,1.12,1.37,1.11,1.72,1.94
Total Liabilities,0.01,0.05,0.34,7.98,10.48,10.3,11.95,12.81
Fixed Assets,0.0,0.0,0.0,0.05,0.04,0.03,0.02,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.11,0.11,0.13,0.15,0.15
Other Assets,0.01,0.05,0.34,7.82,10.33,10.14,11.78,12.64
Total Assets,0.01,0.05,0.34,7.98,10.48,10.3,11.95,12.81
