,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.00,1.16,-1.79,4.63,2.81,1.58,1.68,3.14,3.31
Expenses,0.03,0.91,-1.99,4.42,2.5,1.26,1.02,2.4,2.39
Operating Profit,-0.03,0.25,0.20,0.21,0.31,0.32,0.66,0.74,0.92
OPM %,,21.55,,4.54,11.03,20.25,39.29,23.57,27.79
Other Income,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.00,0.03,0.03,0.3,0.15,0.18,0.19,0.2,0.16
Depreciation,0.00,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Profit before tax,-0.03,0.22,0.16,-0.09,0.15,0.14,0.47,0.54,0.76
Tax %,0.00,22.73,25.00,22.22,26.67,28.57,25.53,27.78,25.0
Net Profit,-0.03,0.17,0.12,-0.07,0.12,0.1,0.35,0.4,0.56
EPS in Rs,-5.00,1.16,0.56,-0.33,0.56,0.47,1.64,1.88,2.63
