,2015-03-01,2016-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,0,0.11,-4.11,-1.6,1.25,-0.11
Cash from Investing Activity,0,0,-0.02,-0.16,-0.25,-0.06,-0.03
Cash from Financing Activity,0,0,-0.09,4.27,1.85,-1.2,0.17
Net Cash Flow,0,0,0.0,0.0,0.0,0.0,0.03
