,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,10.26,11.76,13.81,14.81,14.81,14.81,14.81
Reserves,-2.39,-1.93,-2.11,-3.03,-3.66,-1.58,-2.29
Borrowings,6.5,6.8100000000000005,7.92,8.58,2.34,2.74,2.08
Other Liabilities,4.88,6.26,6.61,7.85,3.09,1.16,0.96
Total Liabilities,19.25,22.9,26.23,28.21,16.58,17.13,15.56
Fixed Assets,0.46,0.36,0.26,0.13,0.02,0.01,0.01
CWIP,14.85,16.13,17.77,18.99,3.26,3.26,3.26
Investments,0.01,0.01,0.01,0.01,4.22,4.8,4.8
Other Assets,3.93,6.4,8.19,9.08,9.08,9.06,7.49
Total Assets,19.25,22.9,26.23,28.21,16.58,17.13,15.56
