,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01
Sales,0.0,2.01,0.42,0.35,0.42,0.24,0.01,0.00,0.00,0.00,0.00,0.00
Expenses,0.0,4.45,1.11,0.95,0.89,0.76,0.32,0.35,0.23,0.07,0.08,0.06
Operating Profit,0.0,-2.44,-0.69,-0.6,-0.47,-0.52,-0.31,-0.35,-0.23,-0.07,-0.08,-0.06
OPM %,,-121.39,-164.29,-171.43,-111.9,-216.67,-3100.0,,,,,
Other Income,0.0,0.11,0.0,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.00,0.00,0.00,0.00,0.00
Profit before tax,0.0,-2.35,-0.69,-0.54,-0.42,-0.48,-0.27,-0.31,-0.19,-0.03,-0.04,-0.02
Tax %,,1.28,0.0,0.0,0.0,14.58,0.0,3.23,0.00,66.67,0.00,0.00
Net Profit,0.0,-2.32,-0.69,-0.54,-0.42,-0.41,-0.27,-0.30,-0.19,-0.01,-0.04,-0.02
EPS in Rs,0.0,-1.68,-0.47,-0.36,-0.28,-0.28,-0.18,-0.20,-0.13,-0.01,-0.03,-0.01
