,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1.28,0.58,1.9,1.43,0.01,0.02,0.02
Expenses,1.86,1.71,4.34,3.62,0.92,0.43,1.01
Operating Profit,-0.58,-1.13,-2.44,-2.19,-0.91,-0.41,-0.99
OPM %,-45.31,-194.83,-128.42,-153.15,-9100.0,-2050.0,-4950.0
Other Income,0.01,0.03,0.11,0.16,0.15,1.91,0.29
Interest,0.0,0.0,0.01,0.01,0.0,0.0,0.0
Depreciation,0.01,0.01,0.02,0.02,0.01,0.01,0.0
Profit before tax,-0.58,-1.11,-2.36,-2.06,-0.77,1.49,-0.7
Tax %,-124.14,5.41,1.27,3.4,0.0,0.0,0.0
Net Profit,-1.31,-1.05,-2.33,-1.98,-0.77,1.49,-0.71
EPS in Rs,-1.28,-0.89,-1.69,-1.34,-0.52,1.01,-0.48
