,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,19.49,32.28,24.69,45.33,51.57
Expenses,16.71,28.13,20.71,38.87,45.35
Operating Profit,2.78,4.15,3.98,6.46,6.22
OPM %,14.26,12.86,16.12,14.25,12.06
Other Income,0.38,0.14,0.43,0.76,1.85
Interest,0.94,0.65,0.5,0.5,0.52
Depreciation,0.7,0.72,0.63,0.77,0.83
Profit before tax,1.52,2.92,3.28,5.95,6.72
Tax %,34.21,17.81,26.83,26.55,24.26
Net Profit,1.0,2.39,2.39,4.37,5.09
EPS in Rs,0.69,1.21,1.21,2.21,2.28
