,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13.3,14.55,14.55,14.55,19.8,19.8,22.3
Reserves,1.98,2.67,4.46,4.89,22.43,29.01,95.28
Borrowings,6.51,8.71,10.61,13.34,10.69,9.65,6.8
Other Liabilities,2.16,6.98,2.71,3.21,1.4,18.0,4.43
Total Liabilities,23.95,32.91,32.33,35.99,54.32,76.46,128.81
Fixed Assets,17.24,16.48,15.45,14.12,13.32,13.91,16.97
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.17,0.54,0.02,0.63,0.63,0.59,0.59
Other Assets,6.54,15.89,16.86,21.24,40.37,61.96,111.25
Total Assets,23.95,32.91,32.33,35.99,54.32,76.46,128.81
