,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.07,49.98,43.95,28.13,51.77,70.03,96.90
Expenses,22.37,46.71,40.23,24.93,44.82,59.58,84.22
Operating Profit,3.7,3.27,3.72,3.2,6.95,10.45,12.68
OPM %,14.19,6.54,8.46,11.38,13.42,14.92,13.09
Other Income,0.07,0.5,0.44,0.45,0.52,1.18,2.61
Interest,1.37,0.87,1.05,0.95,1.59,1.0,1.02
Depreciation,1.41,1.85,1.83,1.68,1.45,1.4,1.60
Profit before tax,0.99,1.05,1.28,1.02,4.43,9.23,12.67
Tax %,62.63,39.05,47.66,35.29,23.48,26.65,
Net Profit,0.38,0.65,0.67,0.67,3.4,6.77,9.46
EPS in Rs,0.38,0.45,0.46,0.46,1.72,3.42,4.49
