,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.12,0.12,0.12,0.12,0.12,3.0,3.0,4.15,4.15,4.15,4.15,4.15
Reserves,0.11,0.21,0.24,0.23,0.26,0.21,1.1,1.11,1.22,1.09,1.53,-0.25
Borrowings,2.58,2.76,8.29,16.44,42.15,33.11,18.8,17.01,16.8,17.18,15.67,7.34
Other Liabilities,2.75,0.06,0.03,2.85,6.49,3.14,1.85,1.65,1.73,4.15,11.44,27.96
Total Liabilities,5.5600000000000005,3.15,8.68,19.64,49.02,39.46,24.75,23.92,23.9,26.57,32.79,39.2
Fixed Assets,0.16,0.29,0.16,2.17,2.21,2.19,0.04,3.9,4.03,4.03,3.08,3.2
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49,15.59,0.0,0.0
Investments,0.0,0.0,0.0,0.0,4.29,4.54,5.94,3.89,0.0,0.0,0.0,0.0
Other Assets,5.4,2.86,8.52,17.47,42.52,32.73,18.77,16.13,6.38,6.95,29.71,36.0
Total Assets,5.5600000000000005,3.15,8.68,19.64,49.02,39.46,24.75,23.92,23.9,26.57,32.79,39.2
