,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72
Public,39.28,39.28,39.28,39.28,39.28,39.28,39.29,39.28
No. of Shareholders,3255.0,3032.0,2907.0,2800.0,3831.0,18661.0,18712.0,17724.0
