,2021-03-01,2022-03-01,2023-03-01
Debtor Days,84.0,79,48
Inventory Days,55.0,49,20
Days Payable,31.0,41,12
Cash Conversion Cycle,108.0,87,57
Working Capital Days,111.0,89,56
ROCE %,,9,25
