,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Public,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99
No. of Shareholders,6425.0,6380.0,6312.0,6226.0,6065.0,6061.0,16100.0,33285.0
