,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59
Public,97.41,97.41,97.41,97.41,97.41,97.41,97.41,97.41,97.41,97.41,97.4,97.4
No. of Shareholders,336.0,342.0,354.0,777.0,8418.0,7947.0,7565.0,7362.0,7362.0,7414.0,7414.0,7437.0
