,2022-09-01,2023-09-01
Sales,22.19,20.7
Expenses,19.72,16.77
Operating Profit,2.47,3.93
OPM %,11.13,18.99
Other Income,0.00,0.18
Interest,1.79,2.73
Depreciation,0.24,0.24
Profit before tax,0.44,1.14
Tax %,25.00,17.54
Net Profit,0.32,0.93
EPS in Rs,,0.5
